BLDAT	BUDAT	MATNR	MAKTX	MENGE	MEINS	WERKS	KOSTL	WAERS	WRBTR	LAND1
15.01.2024	15.01.2024	1000000012	Diesel Kraftstoff B7	850.000	L	1001	COST_MFG1	INR	72250.00	IN
22.01.2024	22.01.2024	1000000012	Diesel Kraftstoff B7	1200.500	L	1001	COST_MFG1	INR	102042.50	IN
05.02.2024	05.02.2024	1002000001	Benzin Regular 91	450.000	L	1002	COST_FLEET	INR	40050.00	IN
12.02.2024	12.02.2024	1000000012	Diesel Kraftstoff B7	980.000	L	1001	COST_MFG1	INR	83300.00	IN
19.02.2024	19.02.2024	3000000001	Erdgas - Natural Gas	1250.000	M3	1003	COST_PLANT	INR	125000.00	IN
28.02.2024	28.02.2024	1004000001	LPG Autogas	320.000	L	1002	COST_FLEET	INR	22400.00	IN
08.03.2024	08.03.2024	1000000012	Diesel Kraftstoff B7	1450.000	L	1001	COST_MFG1	INR	123250.00	IN
15.03.2024	15.03.2024	1002000001	Benzin Regular 91	380.000	L	1002	COST_FLEET	INR	33820.00	IN
22.03.2024	22.03.2024	3000000001	Erdgas - Natural Gas	980.000	M3	1003	COST_PLANT	INR	98000.00	IN
01.04.2024	01.04.2024	1000000012	Diesel Kraftstoff B7	2100.000	L	1001	COST_MFG1	INR	178500.00	IN
10.04.2024	10.04.2024	1000000012	Diesel Kraftstoff B7	750.000	L	1004	COST_WH	INR	63750.00	IN
18.04.2024	18.04.2024	1002000001	Benzin Regular 91	520.000	L	1002	COST_FLEET	INR	46280.00	IN
25.04.2024	25.04.2024	3000000001	Erdgas - Natural Gas	1800.000	M3	1003	COST_PLANT	INR	180000.00	IN
03.05.2024	03.05.2024	1000000012	Diesel Kraftstoff B7	1100.000	L	1001	COST_MFG1	INR	93500.00	IN
14.05.2024	14.05.2024	1004000001	LPG Autogas	280.000	L	1002	COST_FLEET	INR	19600.00	IN
